gene	description
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X1;transcript_id=XM_045833404.1
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X5;transcript_id=XM_045833408.1
SIGLEC1	sialic acid binding Ig like lectin 1%2C transcript variant X4;transcript_id=XM_045833407.1
HSPA12B	heat shock protein family A (Hsp70) member 12B;transcript_id=XM_045833616.1
CUNH20orf27	chromosome unknown C20orf27 homolog%2C transcript variant X2;transcript_id=XM_045833584.1
CUNH20orf27	chromosome unknown C20orf27 homolog%2C transcript variant X1;transcript_id=XM_045833583.1
CUNH20orf27	chromosome unknown C20orf27 homolog%2C transcript variant X3;transcript_id=XM_045833585.1
SPEF1	sperm flagellar 1%2C transcript variant X2;transcript_id=XM_045832597.1
SPEF1	sperm flagellar 1%2C transcript variant X1;transcript_id=XM_045832596.1
CENPB	centromere protein B;transcript_id=XM_045833369.1
CDC25B	cell division cycle 25B;transcript_id=XM_045833434.1
AP5S1	adaptor related protein complex 5 subunit sigma 1%2C transcript variant X1;transcript_id=XM_045833122.1
AP5S1	adaptor related protein complex 5 subunit sigma 1%2C transcript variant X2;transcript_id=XM_045833123.1
MAVS	mitochondrial antiviral signaling protein%2C transcript variant X1;transcript_id=XM_045832851.1
MAVS	mitochondrial antiviral signaling protein%2C transcript variant X2;transcript_id=XM_045832852.1
PANK2	pantothenate kinase 2%2C transcript variant X1;transcript_id=XM_045832601.1
PANK2	pantothenate kinase 2%2C transcript variant X2;transcript_id=XM_045832602.1
PANK2	pantothenate kinase 2%2C transcript variant X3;transcript_id=XM_045832603.1
RNF24	ring finger protein 24%2C transcript variant X2;transcript_id=XM_045832606.1
RNF24	ring finger protein 24%2C transcript variant X1;transcript_id=XM_045832604.1
RNF24	ring finger protein 24%2C transcript variant X3;transcript_id=XM_045832607.1
LOC123815417	U1 spliceosomal RNA;transcript_id=XR_006785083.1
SMOX	spermine oxidase%2C transcript variant X1;transcript_id=XM_045833574.1
SMOX	spermine oxidase%2C transcript variant X2;transcript_id=XM_045833575.1
ADRA1D	adrenoceptor alpha 1D;transcript_id=XM_045833128.1
LOC123815174	prion protein%2C transcript variant X1;transcript_id=XM_045833386.1
LOC123815174	prion protein%2C transcript variant X4;transcript_id=XM_045833389.1
LOC123815174	prion protein%2C transcript variant X2;transcript_id=XM_045833387.1
LOC123815174	prion protein%2C transcript variant X3;transcript_id=XM_045833388.1
PRND	prion like protein doppel;transcript_id=XM_045833347.1
RASSF2	Ras association domain family member 2%2C transcript variant X2;transcript_id=XM_045832871.1
RASSF2	Ras association domain family member 2%2C transcript variant X1;transcript_id=XM_045832870.1
RASSF2	Ras association domain family member 2%2C transcript variant X3;transcript_id=XM_045832872.1
RASSF2	Ras association domain family member 2%2C transcript variant X4;transcript_id=XM_045832874.1
SLC23A2	solute carrier family 23 member 2%2C transcript variant X3;transcript_id=XM_045832752.1
SLC23A2	solute carrier family 23 member 2%2C transcript variant X2;transcript_id=XM_045832751.1
SLC23A2	solute carrier family 23 member 2%2C transcript variant X1;transcript_id=XM_045832750.1
SLC23A2	solute carrier family 23 member 2%2C transcript variant X5;transcript_id=XM_045832754.1
SLC23A2	solute carrier family 23 member 2%2C transcript variant X4;transcript_id=XM_045832753.1
LOC123815428	U2 spliceosomal RNA;transcript_id=XR_006785092.1
LOC123815424	U1 spliceosomal RNA;transcript_id=XR_006785090.1
TMEM230	transmembrane protein 230;transcript_id=XM_045833586.1
PCNA	proliferating cell nuclear antigen;transcript_id=XM_045833704.1
CDS2	CDP-diacylglycerol synthase 2;transcript_id=XM_045832676.1
PROKR2	prokineticin receptor 2;transcript_id=XM_045833551.1
LOC123815444	U6 spliceosomal RNA;transcript_id=XR_006785101.1
GPCPD1	glycerophosphocholine phosphodiesterase 1%2C transcript variant X2;transcript_id=XR_006785029.1
GPCPD1	glycerophosphocholine phosphodiesterase 1%2C transcript variant X1;transcript_id=XM_045833390.1
LOC123815415	small nucleolar RNA SNORA26;transcript_id=XR_006785081.1
SHLD1	shieldin complex subunit 1%2C transcript variant X3;transcript_id=XM_045832866.1
SHLD1	shieldin complex subunit 1%2C transcript variant X1;transcript_id=XM_045832864.1
SHLD1	shieldin complex subunit 1%2C transcript variant X4;transcript_id=XM_045832867.1
SHLD1	shieldin complex subunit 1%2C transcript variant X2;transcript_id=XM_045832865.1
CHGB	chromogranin B;transcript_id=XM_045833727.1
TRMT6	tRNA methyltransferase 6 non-catalytic subunit%2C transcript variant X1;transcript_id=XM_045832981.1
TRMT6	tRNA methyltransferase 6 non-catalytic subunit%2C transcript variant X2;transcript_id=XM_045832982.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X3;transcript_id=XM_045832571.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X5;transcript_id=XM_045832573.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X2;transcript_id=XM_045832570.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X4;transcript_id=XM_045832572.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X1;transcript_id=XM_045832569.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X6;transcript_id=XM_045832574.1
MCM8	minichromosome maintenance 8 homologous recombination repair factor%2C transcript variant X7;transcript_id=XM_045832575.1
LOC123814655	uncharacterized LOC123814655;transcript_id=XR_006784975.1
CRLS1	cardiolipin synthase 1;transcript_id=XM_045832576.1
LRRN4	leucine rich repeat neuronal 4;transcript_id=XM_045833173.1
FERMT1	FERM domain containing kindlin 1;transcript_id=XM_045833058.1
LOC123814914	uncharacterized LOC123814914;transcript_id=XR_006785006.1
BMP2	bone morphogenetic protein 2;transcript_id=XM_045833538.1
LOC123814719	uncharacterized LOC123814719;transcript_id=XR_006784977.1
HAO1	hydroxyacid oxidase 1%2C transcript variant X2;transcript_id=XM_045833314.1
HAO1	hydroxyacid oxidase 1%2C transcript variant X1;transcript_id=XM_045833313.1
TMX4	thioredoxin related transmembrane protein 4;transcript_id=XM_045832999.1
PLCB1	phospholipase C beta 1%2C transcript variant X1;transcript_id=XM_045832721.1
PLCB1	phospholipase C beta 1%2C transcript variant X2;transcript_id=XM_045832722.1
LOC123814756	uncharacterized LOC123814756%2C transcript variant X3;transcript_id=XR_006784985.1
LOC123814756	uncharacterized LOC123814756%2C transcript variant X4;transcript_id=XR_006784986.1
LOC123814756	uncharacterized LOC123814756%2C transcript variant X5;transcript_id=XR_006784987.1
LOC123814756	uncharacterized LOC123814756%2C transcript variant X2;transcript_id=XR_006784984.1
LOC123814756	uncharacterized LOC123814756%2C transcript variant X1;transcript_id=XR_006784983.1
PLCB4	phospholipase C beta 4%2C transcript variant X5;transcript_id=XM_045833066.1
PLCB4	phospholipase C beta 4%2C transcript variant X3;transcript_id=XM_045833064.1
PLCB4	phospholipase C beta 4%2C transcript variant X4;transcript_id=XM_045833065.1
PLCB4	phospholipase C beta 4%2C transcript variant X7;transcript_id=XM_045833068.1
PLCB4	phospholipase C beta 4%2C transcript variant X2;transcript_id=XM_045833063.1
PLCB4	phospholipase C beta 4%2C transcript variant X6;transcript_id=XM_045833067.1
PLCB4	phospholipase C beta 4%2C transcript variant X8;transcript_id=XM_045833069.1
PLCB4	phospholipase C beta 4%2C transcript variant X1;transcript_id=XM_045833062.1
PLCB4	phospholipase C beta 4%2C transcript variant X9;transcript_id=XM_045833070.1
LOC123815451	U6 spliceosomal RNA;transcript_id=XR_006785108.1
LOC123815447	U6 spliceosomal RNA;transcript_id=XR_006785104.1
LAMP5	lysosomal associated membrane protein family member 5%2C transcript variant X1;transcript_id=XM_045833071.1
LAMP5	lysosomal associated membrane protein family member 5%2C transcript variant X2;transcript_id=XM_045833072.1
PAK5	p21 (RAC1) activated kinase 5%2C transcript variant X1;transcript_id=XM_045833660.1
PAK5	p21 (RAC1) activated kinase 5%2C transcript variant X3;transcript_id=XM_045833662.1
PAK5	p21 (RAC1) activated kinase 5%2C transcript variant X2;transcript_id=XM_045833661.1
ANKEF1	ankyrin repeat and EF-hand domain containing 1%2C transcript variant X1;transcript_id=XM_045833338.1
ANKEF1	ankyrin repeat and EF-hand domain containing 1%2C transcript variant X2;transcript_id=XM_045833339.1
SNAP25	synaptosome associated protein 25%2C transcript variant X4;transcript_id=XM_045833321.1
SNAP25	synaptosome associated protein 25%2C transcript variant X1;transcript_id=XM_045833318.1
SNAP25	synaptosome associated protein 25%2C transcript variant X2;transcript_id=XM_045833319.1
SNAP25	synaptosome associated protein 25%2C transcript variant X3;transcript_id=XM_045833320.1
LOC123814673	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin;transcript_id=XM_045832608.1
LOC123814674	SLX4 interacting protein%2C transcript variant X1;transcript_id=XM_045832609.1
LOC123814674	SLX4 interacting protein%2C transcript variant X2;transcript_id=XM_045832610.1
JAG1	jagged canonical Notch ligand 1;transcript_id=XM_045832996.1
LOC123815409	small nucleolar RNA SNORA51;transcript_id=XR_006785076.1
LOC123815125	uncharacterized LOC123815125;transcript_id=XR_006785022.1
LOC123815441	U6 spliceosomal RNA;transcript_id=XR_006785098.1
BTBD3	BTB domain containing 3%2C transcript variant X2;transcript_id=XM_045833221.1
BTBD3	BTB domain containing 3%2C transcript variant X3;transcript_id=XM_045833222.1
BTBD3	BTB domain containing 3%2C transcript variant X1;transcript_id=XM_045833220.1
SPTLC3	serine palmitoyltransferase long chain base subunit 3;transcript_id=XM_045833316.1
ISM1	isthmin 1;transcript_id=XM_045833664.1
TASP1	taspase 1%2C transcript variant X7;transcript_id=XR_006785060.1
TASP1	taspase 1%2C transcript variant X4;transcript_id=XM_045833625.1
TASP1	taspase 1%2C transcript variant X3;transcript_id=XM_045833624.1
TASP1	taspase 1%2C transcript variant X2;transcript_id=XM_045833623.1
TASP1	taspase 1%2C transcript variant X1;transcript_id=XM_045833622.1
TASP1	taspase 1%2C transcript variant X6;transcript_id=XM_045833627.1
TASP1	taspase 1%2C transcript variant X5;transcript_id=XM_045833626.1
ESF1	ESF1 nucleolar pre-rRNA processing protein homolog;transcript_id=XM_045833678.1
LOC123815427	U1 spliceosomal RNA;transcript_id=XR_006785091.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X2;transcript_id=XR_006785038.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X3;transcript_id=XR_006785039.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X1;transcript_id=XM_045833411.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X8;transcript_id=XM_045833416.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X9;transcript_id=XM_045833417.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X4;transcript_id=XM_045833412.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X6;transcript_id=XM_045833414.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X5;transcript_id=XM_045833413.1
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5%2C transcript variant X7;transcript_id=XM_045833415.1
SEL1L2	SEL1L2 adaptor subunit of ERAD E3 ligase;transcript_id=XM_045832617.1
MACROD2	mono-ADP ribosylhydrolase 2;transcript_id=XM_045832893.1
LOC123814822	uncharacterized LOC123814822;transcript_id=XR_006784995.1
FLRT3	fibronectin leucine rich transmembrane protein 3%2C transcript variant X1;transcript_id=XM_045832891.1
FLRT3	fibronectin leucine rich transmembrane protein 3%2C transcript variant X2;transcript_id=XM_045832892.1
LOC123814943	cytochrome b5 reductase 4-like;transcript_id=XM_045833094.1
CUNH1orf131	chromosome unknown C1orf131 homolog;transcript_id=XM_045833095.1
KIF16B	kinesin family member 16B%2C transcript variant X5;transcript_id=XM_045833301.1
KIF16B	kinesin family member 16B%2C transcript variant X3;transcript_id=XM_045833299.1
KIF16B	kinesin family member 16B%2C transcript variant X1;transcript_id=XM_045833297.1
KIF16B	kinesin family member 16B%2C transcript variant X4;transcript_id=XM_045833300.1
KIF16B	kinesin family member 16B%2C transcript variant X2;transcript_id=XM_045833298.1
SNRPB2	small nuclear ribonucleoprotein polypeptide B2%2C transcript variant X1;transcript_id=XM_045833031.1
SNRPB2	small nuclear ribonucleoprotein polypeptide B2%2C transcript variant X2;transcript_id=XM_045833032.1
OTOR	otoraplin;transcript_id=XM_045833714.1
PCSK2	proprotein convertase subtilisin/kexin type 2;transcript_id=XM_045832582.1
LOC123815404	small nucleolar RNA SNORA42/SNORA80 family;transcript_id=XR_006785071.1
BFSP1	beaded filament structural protein 1%2C transcript variant X4;transcript_id=XM_045832823.1
BFSP1	beaded filament structural protein 1%2C transcript variant X3;transcript_id=XM_045832822.1
BFSP1	beaded filament structural protein 1%2C transcript variant X1;transcript_id=XM_045832820.1
BFSP1	beaded filament structural protein 1%2C transcript variant X2;transcript_id=XM_045832821.1
LOC123814795	uncharacterized LOC123814795;transcript_id=XR_006784992.1
DSTN	destrin%2C actin depolymerizing factor;transcript_id=XM_045833531.1
RRBP1	ribosome binding protein 1%2C transcript variant X5;transcript_id=XM_045832813.1
RRBP1	ribosome binding protein 1%2C transcript variant X6;transcript_id=XM_045832814.1
RRBP1	ribosome binding protein 1%2C transcript variant X3;transcript_id=XM_045832811.1
RRBP1	ribosome binding protein 1%2C transcript variant X4;transcript_id=XM_045832812.1
RRBP1	ribosome binding protein 1%2C transcript variant X2;transcript_id=XM_045832809.1
RRBP1	ribosome binding protein 1%2C transcript variant X1;transcript_id=XM_045832808.1
BANF2	BANF family member 2%2C transcript variant X1;transcript_id=XM_045832815.1
BANF2	BANF family member 2%2C transcript variant X2;transcript_id=XM_045832816.1
SNX5	sorting nexin 5;transcript_id=XM_045832763.1
LOC123815414	small nucleolar RNA SNORD17;transcript_id=XR_006785080.1
MGME1	mitochondrial genome maintenance exonuclease 1%2C transcript variant X4;transcript_id=XM_045832768.1
MGME1	mitochondrial genome maintenance exonuclease 1%2C transcript variant X5;transcript_id=XM_045832769.1
MGME1	mitochondrial genome maintenance exonuclease 1%2C transcript variant X3;transcript_id=XM_045832767.1
MGME1	mitochondrial genome maintenance exonuclease 1%2C transcript variant X2;transcript_id=XM_045832765.1
MGME1	mitochondrial genome maintenance exonuclease 1%2C transcript variant X1;transcript_id=XM_045832764.1
OVOL2	ovo like zinc finger 2;transcript_id=XM_045833726.1
LOC123815092	protein PET117 homolog%2C mitochondrial;transcript_id=XM_045833278.1
KAT14	lysine acetyltransferase 14%2C transcript variant X1;transcript_id=XM_045833276.1
KAT14	lysine acetyltransferase 14%2C transcript variant X2;transcript_id=XM_045833277.1
LOC123815448	U6 spliceosomal RNA;transcript_id=XR_006785105.1
ZNF133	zinc finger protein 133;transcript_id=XM_045833599.1
LOC123815453	U6 spliceosomal RNA;transcript_id=XR_006785110.1
DZANK1	double zinc ribbon and ankyrin repeat domains 1;transcript_id=XM_045832945.1
POLR3F	RNA polymerase III subunit F%2C transcript variant X1;transcript_id=XM_045832946.1
POLR3F	RNA polymerase III subunit F%2C transcript variant X2;transcript_id=XM_045832947.1
RBBP9	RB binding protein 9%2C serine hydrolase;transcript_id=XM_045833604.1
SEC23B	SEC23 homolog B%2C COPII coat complex component%2C transcript variant X1;transcript_id=XM_045833025.1
SEC23B	SEC23 homolog B%2C COPII coat complex component%2C transcript variant X2;transcript_id=XM_045833026.1
SMIM26	small integral membrane protein 26;transcript_id=XM_045833030.1
DTD1	D-aminoacyl-tRNA deacylase 1%2C transcript variant X1;transcript_id=XM_045833208.1
DTD1	D-aminoacyl-tRNA deacylase 1%2C transcript variant X2;transcript_id=XM_045833209.1
DTD1	D-aminoacyl-tRNA deacylase 1%2C transcript variant X4;transcript_id=XM_045833211.1
DTD1	D-aminoacyl-tRNA deacylase 1%2C transcript variant X3;transcript_id=XM_045833210.1
SCP2D1	SCP2 sterol binding domain containing 1;transcript_id=XM_045832619.1
SLC24A3	solute carrier family 24 member 3;transcript_id=XM_045833580.1
RIN2	Ras and Rab interactor 2%2C transcript variant X1;transcript_id=XM_045832679.1
RIN2	Ras and Rab interactor 2%2C transcript variant X5;transcript_id=XM_045832683.1
RIN2	Ras and Rab interactor 2%2C transcript variant X2;transcript_id=XM_045832680.1
RIN2	Ras and Rab interactor 2%2C transcript variant X11;transcript_id=XM_045832690.1
